val,tag
buyback,CONCEPT
kit,CONCEPT
capabl,ATTR
portal,CHANNEL
tribut,BRAND
3gb,ATTR
recent,PRTEN
philippin,COUNTRY
airwav,OBJECT
person,ATTR
2gb,ATTR
contact,ATTR
model,ATTR
modem,OBJECT
latest,PRTEN
money,CURR
yes,ASSERTION
previous,PSTEN
t mobil,COMPANY
boost,COMPANY
$,CURR
tablet,OBJECT
lake,ADDR
5s,MODEL
day,PERIOD
cc,CRECARD
add,ACTCHG
4,MODEL
crack,ISSUE
east,ADDR
march,ATTR
webpag,CHANNEL
arriv,ATTR
6se,MODEL
mom,RELA
imei,ATTR
password,ATTR
motorola,COMPANY
serial numb,ATTR
success,ASSERTION
corpor,ATTR
signal,ATTR
resolv,STATE
lose,ACTCLS
tower,OBJECT
manag,ROLE
deduct,ATTR
overdraft,ISSUE
old,PSTEN
deal,ACTBUY
batteri,OBJECT
intern,ATTR
home,ADDR
sprint,COMPANY
doorstep,ADDR
friend,RELA
confirm,ASSERTION
pick up,ATTR
legal,PROCESS
leas,CONCEPT
reactiv,PROCESS
leav,ACTION
power,ATTR
usag,ATTR
agreement,CONCEPT
discount,ATTR
patienc,EMOTION
promo,ATTR
benefit,ATTR
promot,ATTR
at&t,COMPANY
post,FRTEN
paid off,ATTR
complimentari,ATTR
carrier,ISSUE
roam,SERVICE
1gb,ATTR
road,ADDR
repair,SERVICE
owe,ATTR
pre ord,ATTR
tortur,EMOTION
automat,PROCESS
iphon,BRAND
late fe,ATTR
storag,ATTR
wife,RELA
frustrat,NEGATION
appt,ADDR
question,ACTINFO
gig,ATTR
start,ATTR
appl,COMPANY
includ,ACTCHG
way,ADDR
hassl,ISSUE
deliveri,ATTR
buy,ACTBUY
north,ADDR
offer,ATTR
6,MODEL
wireless,SERVICE
care team,FUNCTION
line,SERVICE
pain,ISSUE
reset,ACTION
inquir,ACTINFO
caller,ATTR
call,CONCEPT
unlock,ATTR
lock,ISSUE
record,FACT
limit,CONCEPT
paper stat,ATTR
problem,ISSUE
display,ATTR
featur,ATTR
supervisor,ROLE
ad,ACTCHG
pin,ATTR
internet access,SERVICE
year,PERIOD
repres,ROLE
exist,PRTEN
file,ATTR
iccid,ATTR
ship,ATTR
check,ACTINFO
incorrect,NEGATION
googl,COMPANY
ny,ADDR
valid,ACTION
5,MODEL
aircard,OBJECT
unlimit,ATTR
monday,DATE
netgear,COMPANY
re-evalu,ACTCHG
weekend,ATTR
ago,PSTEN
lane,ADDR
e,ADDR
samsung,COMPANY
wifi,SERVICE
zip cod,ADDR
4s,MODEL
memory card,OBJECT
emerg,ATTR
time,ATTR
initi,ATTR
insurance,ATTR
cover,ATTR
student,ATTR
edu,ATTR
prorat,ATTR
fraud.RISK
fraudul,RISK
hack,RISK
cart,ACTBUY
send,ACTION
get,ACTION
got,PSTEN
went,PSTEN
go,PRTEN
extend,ACTION
extens,ACTION
feder,GOVT
marin,GOVT
militari,GOVT
veteran,GOVT
spotifi,SERVICE
expens,ISSUE
sick,ISSUE
tire,ISSUE
recoveri,ISSUE
root,ISSUE
angri,NEGATION
low,QUANTI
lower,QUANTI
high,QUANTI
higher,QUANTI
total,QUANTI
averag,QUANTI
less,QUANTI
lot,QUANTI
reduc,QUANTI
save,QUANTI
cheap,QUANTI
slow,QUANTI
fast,QUANTI
